[2017-03-13 14:19:55,922] [vautils] [INFO] Succeed to get vlan. vlan id is 1000
[2017-03-13 14:19:55,922] [vautils] [INFO] Succeed to update portgroup fabric-1000 to vlan 1000
[2017-03-13 14:19:55,922] [vautils] [INFO] Connection:HA_FABRIC_DIR1 Access vlan (1000),dir_1:xe-1/0/0.1, switch : vSwitch1
[2017-03-13 14:19:57,034] [vautils] [DEBUG] [vSwitch1]: esxcfg-vswitch -p fabric-1000 -v 1000 vSwitch1
[2017-03-13 14:19:58,142] [vautils] [INFO] Succeed to get vlan. vlan id is 1000
[2017-03-13 14:19:58,142] [vautils] [INFO] Succeed to update portgroup fabric-1000 to vlan 1000
[2017-03-13 14:19:58,142] [vautils] [INFO] Connection:HA_DIR1_TO_DIR2 Access vlan (1900),from dir_1:xe-1/0/2.1, to dir_2:xe-1/0/2.1, switch : vSwitch1
[2017-03-13 14:19:59,254] [vautils] [DEBUG] [vSwitch1]: esxcfg-vswitch -p ha-1990 -v 1900 vSwitch1
[2017-03-13 14:20:00,354] [vautils] [INFO] Succeed to get vlan. vlan id is 1900
[2017-03-13 14:20:00,354] [vautils] [INFO] Succeed to update portgroup ha-1990 to vlan 1900
[2017-03-13 14:20:01,459] [vautils] [DEBUG] [vSwitch1]: esxcfg-vswitch -p ha-1990 -v 1900 vSwitch1
[2017-03-13 14:20:02,566] [vautils] [INFO] Succeed to get vlan. vlan id is 1900
[2017-03-13 14:20:02,566] [vautils] [INFO] Succeed to update portgroup ha-1990 to vlan 1900
[2017-03-13 14:20:02,567] [vautils] [INFO] Connection:pc1_to_pc1 Access vlan (1001),pc1:eth1, switch : vSwitch2
[2017-03-13 14:20:03,683] [vautils] [DEBUG] [vSwitch2]: esxcfg-vswitch -p vlan-1001 -v 1001 vSwitch2
[2017-03-13 14:20:04,813] [vautils] [INFO] Succeed to get vlan. vlan id is 1001
[2017-03-13 14:20:04,813] [vautils] [INFO] Succeed to update portgroup vlan-1001 to vlan 1001
[2017-03-13 14:20:04,814] [vautils] [DEBUG] [vSwitch2]: esxcfg-vswitch -l
[2017-03-13 14:20:05,370] [vautils] [INFO] 
Switch Name      Num Ports   Used Ports  Configured Ports  MTU     Uplinks   
vSwitch0         2352        11          128               1500    vmnic2    

  PortGroup Name        VLAN ID  Used Ports  Uplinks   
  VM Network            0        0           vmnic2    
  vlan-125              125      7           vmnic2    
  Management Network    0        1           vmnic2    

Switch Name      Num Ports   Used Ports  Configured Ports  MTU     Uplinks   
vSwitch1         2352        9           128               1500              

  PortGroup Name        VLAN ID  Used Ports  Uplinks   
  vlan-3000             3000     0                     
  vlan-4015             4015     0                     
  vlan-4010             4010     0                     
  Pub-4095              4095     1                     
  not-use-1024-sw1      1024     1                     
  ha-1990               1900     2                     
  fabric-1000           1000     4                     

Switch Name      Num Ports   Used Ports  Configured Ports  MTU     Uplinks   
vSwitch2         2352        5           128               1500              

  PortGroup Name        VLAN ID  Used Ports  Uplinks   
  vlan-1003             1003     0                     
  vlan-1011             1011     0                     
  vlan-1010             1010     0                     
  Loc-4095              4095     1                     
  not-use-1025-sw2      1025     1                     
  vlan-1002             1002     1                     
  vlan-1001             1001     1                     


[2017-03-13 14:20:05,370] [vautils] [INFO] Completed to config link
[2017-03-13 14:20:05,370] [vautils] [INFO] Start to config ip address
[2017-03-13 14:20:06,482] [vautils] [INFO] [varmour-virtual-machine] sudo ifconfig eth1 15.15.15.1 netmask 255.255.255.0 up
[2017-03-13 14:20:06,995] [vautils] [INFO] [varmour-virtual-machine] ifconfig eth1
